time,ax,ay,az,gx,gy,gz,mx,my,mz,normAccel,normMag,normGyr,thetaGyrx,thetaGyry,thetaGyrz,vx,vy,vz,posx,posy,posz
6.187,5.26,-10.68,-16.61,-0.95,-0.41,1.64,93.0,-30.0,52.0,17.471960393728004,110.69326989478628,153.91250404798092,-25.11954153532993,-70.2415321985689,8.306237910946951,-10.236172476595742,1.4184464510638255,42.02902961702126,-51.77894894519405,4.900528581919343,114.62994654192312
6.199,5.26,-10.68,-16.61,-0.95,-0.41,1.64,93.0,-30.0,52.0,20.435804363909924,110.69326989478628,111.1035932691385,-25.882687184788303,-70.57088979465094,9.623668295275095,-10.16242503829787,1.2687083063829747,41.79615034893615,-51.922464439134,4.920415804757492,115.2192114218472
6.21,-13.07,2.04,36.89,-2.6,2.49,2.85,93.0,-30.0,52.0,20.435804363909924,110.69326989478628,111.1035932691385,-26.645832834246683,-70.90024739073297,10.94109867960324,-10.0886776,1.1189701617021235,41.563271080851045,-52.064945962607126,4.938203635088857,115.80521123533518
6.223,10.01,5.71,15.2,0.22,-3.32,1.4,93.0,-30.0,52.0,39.19003189587883,110.69326989478628,263.0781122685002,-28.734441980132765,-68.90000247794207,13.23053562797837,-10.271924561702129,1.1475718297872302,42.080484578723386,-52.20639351561342,4.953892072913436,116.38794598238704
6.234,10.01,5.71,15.2,0.22,-3.32,1.4,93.0,-30.0,52.0,19.074700521895487,110.69326989478628,206.82744737034548,-28.557713513942403,-71.5669956949966,14.35517132191703,-10.13158010212766,1.2276284595744642,42.29359504680849,-52.35041026900021,4.969981518295491,116.97793228276991
6.246,5.15,-6.76,24.78,1.0,-1.79,0.04,93.0,-30.0,52.0,19.074700521895487,110.69326989478628,206.82744737034548,-28.38098504775204,-74.23398891205115,15.479807015855693,-9.99123564255319,1.3076850893616982,42.5067055148936,-52.49245933334272,4.987193391693814,117.57090648260068
6.257000000000001,5.15,-6.76,24.78,1.0,-1.79,0.04,93.0,-30.0,52.0,26.19672689478592,110.69326989478628,117.50105814946686,-27.577673837795857,-75.67191597787271,15.511939464253938,-9.91903045106383,1.2129070127659536,42.85413165957445,-52.63254070864095,5.005527693108405,118.16686858187929
6.2700000000000005,0.95,16.02,14.61,-0.16,5.21,0.04,93.0,-30.0,52.0,26.19672689478592,110.69326989478628,117.50105814946686,-26.774362627839672,-77.10984304369428,15.544071912652186,-9.846825259574468,1.118128936170209,43.2015578042553,-52.77160973642889,5.022533165558028,118.76770174354722
6.281,-2.76,10.73,14.27,-0.08,3.9,0.04,93.0,-30.0,52.0,21.70241921998559,110.69326989478628,298.66053669354125,-26.90289242143266,-72.92459163982255,15.576204361050433,-9.833505855319148,1.3427361531914854,43.40639622127658,-52.909666416706536,5.038209809042682,119.3734059676045
6.292,-2.76,10.73,14.27,-0.08,3.9,0.04,93.0,-30.0,52.0,18.066084246454736,110.69326989478628,223.5122972779769,-26.967157318229155,-69.79167792099342,15.60833680944868,-9.872202229787232,1.4931753191489323,43.606467693617006,-53.04753635326869,5.057035541287513,119.9819821134337
6.304,-1.24,10.61,8.71,0.07,-0.06,0.04,81.0,-67.0,76.0,18.066084246454736,110.69326989478628,223.5122972779769,-27.03142221502565,-66.65876420216429,15.640469257846927,-9.910898604255316,1.6436144851063792,43.80653916595743,-53.18594882946743,5.077970494655735,120.59336334644192
6.317,-1.24,10.61,8.71,0.07,-0.06,0.04,81.0,-67.0,76.0,13.78309834543743,129.71507237017602,5.758154577216438,-26.97519043032872,-66.70696287476166,15.672601706245176,-9.928283931914892,1.7923711999999965,43.928657072340414,-53.32490384530275,5.101014669147346,121.20754966662912
6.329,0.73,8.15,6.89,-0.03,-1.8,0.04,81.0,-67.0,76.0,13.78309834543743,129.71507237017602,5.758154577216438,-26.918958645631783,-66.75516154735902,15.704734154643422,-9.945669259574467,1.9411279148936131,44.0507749787234,-53.46410261082987,5.126144476082494,121.82344813182893
6.341,-0.11,9.29,9.81,-0.13,-1.41,0.04,81.0,-67.0,76.0,10.697079040560558,129.71507237017602,103.17218418698464,-26.94305798193047,-68.20112172528016,15.736866603041667,-9.93543434893617,2.05539438297872,44.14737571063829,-53.60354512604879,5.1533599154611816,122.44105874204124
6.353,-0.11,9.29,9.81,-0.13,-1.41,0.04,81.0,-67.0,76.0,13.511191657289153,129.71507237017602,81.1620553087067,-27.04748843922477,-69.33379053131839,15.768999051439916,-9.93697659574468,2.185644136170209,44.28491608510638,-53.74284414346528,5.182177419346451,123.06002373562173
6.3660000000000005,-1.03,11.13,5.96,-0.03,-0.32,0.04,81.0,-67.0,76.0,13.511191657289153,129.71507237017602,81.1620553087067,-27.151918896519074,-70.46645933735661,15.801131499838164,-9.93851884255319,2.315893889361698,44.42245645957447,-53.8821647838383,5.212821080196892,123.68091710378005
6.379,-1.03,11.13,5.96,-0.03,-0.32,0.04,81.0,-67.0,76.0,12.667257003787364,129.71507237017602,18.55711147016776,-27.17601823281776,-70.72351892454259,15.83326394823641,-9.952959880851065,2.47194122553191,44.50601819574468,-54.02150704716785,5.245290898012504,124.30373884651624
6.390000000000001,-1.67,3.4,14.86,0.14,0.27,0.04,81.0,-67.0,76.0,12.667257003787364,129.71507237017602,18.55711147016776,-27.200117569116447,-70.98057851172857,15.865396396634658,-9.967400919148936,2.6279885617021232,44.58957993191489,-54.16105177999946,5.279948565884345,124.92773216035172
6.402,0.07,-2.11,9.32,0.13,-0.27,0.08,81.0,-67.0,76.0,15.33520459596154,129.71507237017602,17.575894786215155,-27.08765399972258,-70.7636844850404,15.897528845032904,-9.990815029787234,2.675658008510634,44.79792345531914,-54.30079898233313,5.316794083812414,125.5528970452865
6.415,0.07,-2.11,9.32,0.13,-0.27,0.08,81.0,-67.0,76.0,9.556118458872305,129.71507237017602,17.770930500993185,-26.98322354242828,-70.98057851172857,15.9617937418294,-9.9898336,2.6460749106382933,44.92859382127659,-54.440874460461394,5.354307947669609,126.18098299507622
6.426,0.26,-3.17,10.27,0.03,-0.35,0.26,90.0,-63.0,52.0,9.556118458872305,129.71507237017602,17.770930500993185,-26.87879308513397,-71.19747253841673,16.026058638625894,-9.988852170212764,2.6164918127659527,45.05926418723404,-54.580936178526414,5.3914070439060815,126.81090099900108
6.438,0.26,-3.17,10.27,0.03,-0.35,0.26,90.0,-63.0,52.0,10.75125108998948,121.54423063230932,25.040287794916473,-26.854693748835288,-71.4786314619014,16.234919553214503,-9.985206859574468,2.5720470638297823,45.20325395744681,-54.72098413652819,5.428091372521831,127.44265105706108
6.45,-0.63,-3.44,12.46,0.04,-0.28,0.38,90.0,-63.0,52.0,10.75125108998948,121.54423063230932,25.040287794916473,-26.8305944125366,-71.75979038538607,16.443780467803112,-9.981561548936169,2.527602314893612,45.34724372765958,-54.860980985723614,5.464152566844837,128.0764199129717
6.462,2.44,-2.99,5.02,-0.05,-0.21,0.41,90.0,-63.0,52.0,12.941487549737086,121.54423063230932,27.14151331342148,-26.798461964138355,-71.9847175241738,16.749038727586463,-9.990394417021276,2.479372051063825,45.52193822978724,-55.0009267261127,5.499590626875099,128.71220756673293
6.474,2.44,-2.99,5.02,-0.05,-0.21,0.41,90.0,-63.0,52.0,6.331990208457369,121.54423063230932,26.548418471681536,-26.838627524636163,-72.1534128782646,17.0783963236685,-9.956184578723402,2.4374509787233998,45.59232076595745,-55.140996307071006,5.53435247808295,129.3504445117521
6.486,0.2,-1.72,7.76,-0.05,0.02,0.42,90.0,-63.0,52.0,6.331990208457369,121.54423063230932,26.548418471681536,-26.87879308513397,-72.3221082323554,17.407753919750537,-9.92197474042553,2.395529906382974,45.66270330212767,-55.280586251539,5.568526578017835,129.98966824987838
6.497,0.2,-1.72,7.76,-0.05,0.02,0.42,90.0,-63.0,52.0,7.950849011269174,121.54423063230932,24.261227886426223,-26.91895864563178,-72.30604200815628,17.745144627932135,-9.919170655319146,2.37141477446808,45.77150180425533,-55.41969655951667,5.6021129266797525,130.62987878111178
6.509,4.56,-3.08,1.11,0.02,-0.02,0.41,90.0,-63.0,52.0,7.950849011269174,121.54423063230932,24.261227886426223,-26.959124206129587,-72.28997578395716,18.08253533611373,-9.916366570212762,2.3472996425531862,45.88030030638299,-55.558767553027934,5.635361170930465,131.27161471364226
6.523000000000001,-1.99,-0.37,10.11,0.02,0.04,0.41,90.0,-63.0,52.0,5.613563930338729,121.54423063230932,23.5471015735904,-26.943057981930465,-72.30604200815628,18.41189293219577,-9.852433429787231,2.3041167319148883,45.89586297872341,-55.697799232072775,5.668271310769972,131.9148760474698
6.535,-1.99,-0.37,10.11,0.02,0.04,0.41,90.0,-63.0,52.0,10.3106304365931,121.54423063230932,23.630602195817982,-26.926991757731336,-72.27390955975804,18.741250528277806,-9.880334076595744,2.29892917446808,46.037609480851074,-55.83593454128326,5.700576007826624,132.55835557658594
6.546,0.45,-0.48,6.73,-0.02,0.01,0.41,87.0,-75.0,52.0,10.3106304365931,121.54423063230932,23.630602195817982,-26.91092553353221,-72.2417771113598,19.070608124359843,-9.908234723404254,2.293741617021271,46.179355982978734,-55.97446102943461,5.7328079731204,133.2038224519796
6.558,0.45,-0.48,6.73,-0.02,0.01,0.41,87.0,-75.0,52.0,6.762085477129078,126.08727136392476,23.52618011093131,-26.926991757731336,-72.23374399926023,19.39996572044188,-9.901925531914893,2.287011812765952,46.27371344680852,-56.11337869652683,5.7649672066513,133.85127667365074
6.572,-1.71,1.27,19.55,-0.01,-0.0,0.42,87.0,-75.0,52.0,6.762085477129078,126.08727136392476,23.52618011093131,-26.943057981930465,-72.22571088716066,19.72932331652392,-9.895616340425532,2.280282008510633,46.36807091063831,-56.25220790606961,5.797032085462795,134.5000538271169
